Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
1603840680,17.59033043,87.24111407,2315957.5,90145852.5,0.001666639
1603840740,17.32665558,87.24005632,2103332.5,112331851.5,0.001666111
1603840800,17.54482768,87.239958,1682328.5,91357680.5,0
1603840860,17.26723978,87.23812025,1535760,68867052,0
1603840920,17.53320274,87.24356406,4347882.5,72230502,0
1603840980,17.4019233,87.24361373,1327859,61790044,0.003333056
1603841040,17.37905667,87.24226152,2122384.5,63529538.5,0
1603841100,17.42061007,87.24281598,1574687.5,65464442,0
1603841160,17.58176689,87.24284285,2043628,69191010,0.001666694
1603841220,17.437058,87.24528067,1506669,69565176,0.003333611
1603841280,17.47931489,87.2445919,1195570.5,60341507,0.001666222
1603841340,17.23247862,87.2437602,1277151.5,66702978,0.003333889
1603841400,17.89376376,87.24850814,49656243,91415963.5,0.001666889
1603841460,17.92821564,87.25128908,16975776.5,99364367,0.001666667
1603841520,17.49841564,87.25241474,18846286.5,86307150,0
1603841580,17.01621368,87.25733348,3556614,59661820,0
1603841640,17.19934082,87.26096133,29340116.5,61202711,0.003332944
1603841700,18.09195884,87.26457601,2853431,87655069.5,0.001667056
1603841760,17.41256071,87.26287206,2118550,61425882,0
1603841820,17.10400116,87.26493839,1797783,64693087.5,0
1603841880,17.57662322,87.26239058,2350077.5,60055431.5,0.005
1603841940,17.80693484,87.26032881,3878519.5,69374102.5,0
1603842000,17.66779184,87.25962331,1604449.5,68405617,0.001667556
1603842060,17.94505105,87.25422918,1386437.5,82468238,0
1603842120,17.49191274,87.25318106,1867212,81864701.5,0.003333111
1603842180,17.40243562,87.25350442,2239854,59169839.5,0.001666639
1603842240,17.55863952,87.25215525,1368025.5,63401581,0.00499925
1603842300,17.42903463,87.2529834,1157741,66161532,0.001667083
1603842360,17.16719405,87.24901293,2032220,60668731,0.001666361
1603842420,17.38697582,87.24818985,1693979.5,58286001.5,0.001666889
1603842480,17.08121581,87.24960085,1039027.5,53816571.5,0.003333222
1603842540,17.59091444,87.25325709,1884738,65137540,0
1603842600,17.80388783,87.25306398,5542567.5,61319307,0.001666694
1603842660,17.38682664,87.25289521,1505332.5,81589017,0.001666917
1603842720,18.07789108,87.25537967,2021259,63215725.5,0
1603842780,17.68918786,87.25660973,2268928.5,59115873,0.001666778
1603842840,17.85406244,87.25564372,1815172.5,61383902.5,0.003332778
1603842900,17.91557471,87.25800198,992652.5,86064376.5,0.001666972
